The Yankee Candle Company,590 2nd St,(510) 834-9484,http://www.yankeecandle.com
Diamond Psychic Candles & More,2133 Macarthur Blvd,(510) 336-3200, 
Deesire's Home & Fragrance, ,(510) 214-3441,http://deesirescandle.com
Bay Trading, ,(510) 653-2033, 
Oak Common,3231 Grand Ave,(510) 285-6629,http://www.oakcommon.com
For Every Home,2202 Mitchell St,(510) 827-9732, 
The Phoenix Candle Shop,4101 Foothill Blvd,(510) 533-7777, 
Psychic's Of Oakland,376 17th St,(510) 452-1866, 
psychic on broadway,2135 broadway,(510) 467-2172, 
Bath & Body Works,5687 Bay St,(510) 658-8596,http://www.bathandbodyworks.com
Mariposa Botanica,1309 Park St,(510) 522-6786, 
Fairyland,Pier 39,(415) 291-8463, 
Candle Fuel Co,135 Townsend St,(415) 225-3041,http://candlefuelcompany.com
Candler, Robin,564 6th St,(415) 244-4469, 
ChimneyFire Enterprises, Inc.,5845 Avila St,(510) 926-7681, 
Jenny K,6927 Stockton Ave,(510) 528-5350,http://www.jennyk.com
None Of Your Bees Wax,2520 San Pablo Ave,(510) 647-3697, 
Wax and Things,15555 E 14th St,(510) 244-7497,http://www.waxandthings.com
Candle Light Shop,3330 24th St,(415) 824-4003, 
ZGO Fragrance & Apothecary,600 Castro St,(415) 692-6511,http://www.zgostore.com
Candle Xtay,1861 Union St,(415) 775-1610, 
Vous Et Moi,471 Gough St,(415) 757-0781,http://www.eres.com/Index.htm
Botanica San Simon,14321 San Pablo Ave,(510) 412-0582, 
San Leandro Psychic Advisor,13674 E 14th St,(510) 895-2424,http://psychic.proastro.com
Space NK apothecary,2000 Fillmore St,(415) 923-9044,http://www.spacenk.com/us/en_US/stores?dwcont=C1487425603
Cove,683 Haight St,(415) 863-8199,http://www.covertcove.com
Zgo,600 Castro St,(415) 692-6511,http://www.zgostore.com
Anthem Home Interiors,3274 Sacramento St,(415) 440-6500,http://www.anthemsf.com
Oriental Odysseys,14557 Griffith St,(510) 357-6100,http://oocandles.com
Inbal,401 1st St Ste 110,(510) 235-9768,http://inbal.net
Mason Jar Candles, Inc.,Broadway Street,(415) 286-9005,http://www.masonjarcandles.org
Botanica Yoruba,3423 19th St,(415) 814-3130, 
San Leandro Candle Shop,13674 E 14th St,(510) 895-2424, 
Soy Savvy,3250 Laguna St,(415) 932-8166, 
Bell Book & Candle Supply,945 Taraval St # 210,(415) 424-6993,http://www.bellbookandcandlesupply.com
Mill Valley Candleworks,114 E Strawberry Dr,(415) 380-2471, 
Candle Spa,Ste 6A,(818) 821-1332, 
The Holiday Shoppe,660 Bridgeway,(415) 332-7432,http://holidayshoppe.cameoez.com
