Oak Common,3231 Grand Ave,(510) 285-6629,http://www.oakcommon.com
Deesire's Home & Fragrance, ,(510) 214-3441,http://deesirescandle.com
The Phoenix Candle Shop,4101 Foothill Blvd,(510) 533-7777, 
The Yankee Candle Company,590 2nd St,(510) 834-9484,http://www.yankeecandle.com
Psychic's Of Oakland,376 17th St,(510) 452-1866, 
psychic on broadway,2135 broadway,(510) 467-2172, 
For Every Home,2202 Mitchell St,(510) 827-9732, 
Bath & Body Works,5687 Bay St,(510) 658-8596,http://www.bathandbodyworks.com
Mariposa Botanica,1309 Park St,(510) 522-6786, 
None Of Your Bees Wax,2520 San Pablo Ave,(510) 647-3697, 
Jenny K,6927 Stockton Ave,(510) 528-5350,http://www.jennyk.com
Fairyland,Pier 39,(415) 291-8463, 
ChimneyFire Enterprises, Inc.,5845 Avila St,(510) 926-7681, 
Zgo,600 Castro St,(415) 692-6511,http://www.zgostore.com
Botanica Yoruba,3423 19th St,(415) 814-3130, 
The Holiday Shoppe,660 Bridgeway,(415) 332-7432,http://holidayshoppe.cameoez.com
Wax and Things,15555 E 14th St,(510) 244-7497,http://www.waxandthings.com
Cove,683 Haight St,(415) 863-8199,http://www.covertcove.com
Botanica San Simon,14321 San Pablo Ave,(510) 412-0582, 
Space NK apothecary,2000 Fillmore St,(415) 923-9044,http://www.spacenk.com/us/en_US/stores?dwcont=C1487425603
Candle Light Shop,3330 24th St,(415) 824-4003, 
Candle Xtay,1861 Union St,(415) 775-1610, 
San Leandro Psychic Advisor,13674 E 14th St,(510) 895-2424,http://psychic.proastro.com
Vous Et Moi,471 Gough St,(415) 757-0781,http://www.eres.com/Index.htm
ZGO Fragrance & Apothecary,600 Castro St,(415) 692-6511,http://www.zgostore.com
Anthem Home Interiors,3274 Sacramento St,(415) 440-6500,http://www.anthemsf.com
San Leandro Candle Shop,13674 E 14th St,(510) 895-2424, 
Soy Savvy,3250 Laguna St,(415) 932-8166, 
Mill Valley Candleworks,114 E Strawberry Dr,(415) 380-2471, 
